OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,Latitude,Longitude,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158109,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490691,,,Fecal Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:20.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060501_148177,Sample-Routine,Water,Surface Water,2006-05-01,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490367,,,Enterococcus,,52,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:10.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_158203,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490805,,,Fecal Coliform,,86,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:24.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158329,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490707,,,Total Coliform,,120,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:21.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_147303,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490760,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:22.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_157883,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490427,,,Total Coliform,,41,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:12.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060501_148175,Sample-Routine,Water,Surface Water,2006-05-01,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490365,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:10.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_151253,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490662,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:19.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_151123,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490397,,,Enterococcus,,30,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:11.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158019,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490689,,,Total Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:20.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_148231,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490388,,,Enterococcus,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:11.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060508_148591,Sample-Routine,Water,Surface Water,2006-05-08,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490599,,,Enterococcus,,2,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:17.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_151115,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490775,,,Fecal Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:23.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_147395,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490771,,,Enterococcus,,5,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:23.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_147293,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490744,,,Enterococcus,,120,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:22.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_158233,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490454,,,Total Coliform,,108,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:13.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_148231,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490390,,,Total Coliform,,60,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:11.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060511_158553,Sample-Routine,Water,Surface Water,2006-05-11,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490818,,,Total Coliform,,3654,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:24.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_158481,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490469,,,Total Coliform,,20,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:13.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_158107,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490445,,,Total Coliform,,780,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:12.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060503_148397,Sample-Routine,Water,Surface Water,2006-05-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490514,,,Total Coliform,,170,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:15.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060503_148413,Sample-Routine,Water,Surface Water,2006-05-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490522,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:15.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060503_148425,Sample-Routine,Water,Surface Water,2006-05-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490535,,,Total Coliform,,120,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:15.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_151223,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490655,,,Total Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:19.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_147317,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490763,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:23.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_152587,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490803,,,Total Coliform,,18,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:24.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_151135,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490782,,,Total Coliform,,146,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:23.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_157885,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490678,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:20.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158263,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490699,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:21.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_151145,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490783,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:23.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060503_148425,Sample-Routine,Water,Surface Water,2006-05-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490534,,,Fecal Coliform,,80,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:15.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060503_151199,Sample-Routine,Water,Surface Water,2006-05-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490543,,,Fecal Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:16.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060508_148611,Sample-Routine,Water,Surface Water,2006-05-08,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490621,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:18.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060509_158235,Sample-Routine,Water,Surface Water,2006-05-09,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490697,,,Fecal Coliform,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:21.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060503_148411,Sample-Routine,Water,Surface Water,2006-05-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490520,,,Total Coliform,,150,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:15.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060510_147273,Sample-Routine,Water,Surface Water,2006-05-10,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490741,,,Enterococcus,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:22.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060513_155129,Sample-Routine,Water,Surface Water,2006-05-13,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490826,,,Total Coliform,,120,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:25.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060502_158623,Sample-Routine,Water,Surface Water,2006-05-02,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490476,,,Enterococcus,,10,MPN,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ENTEROLERT,21CABCH,Enterolert uses to detect Enterococcus,,,,,,,,,,,2008-02-11 15:40:14.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060501_148177,Sample-Routine,Water,Surface Water,2006-05-01,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490369,,,Total Coliform,,5600,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:10.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060501_148169,Sample-Routine,Water,Surface Water,2006-05-01,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490359,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:10.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060508_148609,Sample-Routine,Water,Surface Water,2006-05-08,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490619,,,Total Coliform,,100,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_TO,21CABCH,COLILERT_18_TOTAL to detect Total Coliforms,,,,,,,,,,,2008-02-11 15:40:18.0,STORET
21CABCH,Southern California Coastal Water Research Project (BEACH),21CABCH-631_20060503_148417,Sample-Routine,Water,Surface Water,2006-05-03,,,,,,,0.5,ft,,,,,,EPABEACH,EPABEACH,,21CABCH-631,SWIM AREA/BABY BEACH,,,,,33.4625000000,-117.7043300000,Water,21CABCH,Sampling Protocols for collection water samples,,Miscellaneous (Other),STORET-29490528,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,COLILERT_18_FE,21CABCH,COLILERT_18_FECAL to detect Fecal Coliforms,,,,,,,,,,,2008-02-11 15:40:15.0,STORET
